,precision,recall,f1-score,support
adware,0.9778393351800554,0.889168765743073,0.9313984168865436,397.0
backdoor,0.8934426229508197,0.8074074074074075,0.8482490272373541,135.0
benign,0.9005263157894737,0.9907353792704111,0.9434794596084919,1727.0
downloader,1.0,1.0,1.0,500.0
spyware,0.975609756097561,0.8465608465608465,0.9065155807365439,189.0
trojan,0.944794952681388,0.8389355742296919,0.8887240356083086,714.0
virus,0.9465346534653465,0.9979123173277662,0.9715447154471545,479.0
worm,0.995575221238938,0.8302583025830258,0.9054325955734407,271.0
accuracy,0.9372166817769719,0.9372166817769719,0.9372166817769719,0.9372166817769719
macro avg,0.9542903571754477,0.9001223241402778,0.9244179788872297,4412.0
weighted avg,0.9397531146001511,0.9372166817769719,0.9361492237552118,4412.0
